t,Vin,Vin_buck,Vo,Vo_buck,IL,IL_avg,u
0.0,12.981684981684982,13.142857142857142,0.0,0.0,0.516013900629293,-0.038132807363568944,0.6152304609218436
5e-06,12.945054945054945,13.135531135531135,0.007326007326007326,0.014652014652014652,1.3583168967784331,-0.038132807363568944,0.6152304609218436
1e-05,12.923076923076923,13.142857142857142,0.0,0.007326007326007326,2.0011270780501533,0.16136000751385993,0.6152304609218436
1.5000000000000002e-05,12.915750915750916,13.128205128205128,0.04395604395604395,0.03663003663003663,2.754766600920453,0.516013900629293,0.6152304609218436
2e-05,12.908424908424909,13.128205128205128,0.2490842490842491,0.20512820512820512,3.375410913872461,1.0258288719827213,0.6152304609218436
2.5e-05,12.893772893772894,13.12087912087912,0.336996336996337,0.2783882783882784,4.062552831783597,1.6464731849347203,0.6152304609218436
3.0000000000000004e-05,12.886446886446885,13.113553113553113,0.4175824175824176,0.358974358974359,4.705363013055317,2.311449234526153,0.6152304609218436
3.5000000000000004e-05,12.87179487179487,13.106227106227106,0.5054945054945055,0.43956043956043955,5.348173194327055,2.9985911524373154,0.6152304609218436
4e-05,12.857142857142856,13.098901098901099,0.5860805860805861,0.5274725274725275,5.946651638959342,3.6414013337090267,0.6152304609218436
4.5e-05,12.835164835164834,13.084249084249084,0.6813186813186813,0.6080586080586081,6.5007983469522035,4.262045646661035,0.6152304609218436
5e-05,12.827838827838827,13.076923076923077,0.7692307692307692,0.6959706959706959,7.143608528223915,4.927021696252467,0.6152304609218436
5.5e-05,12.805860805860805,13.062271062271062,0.8644688644688645,0.7838827838827839,7.63125763125764,5.569831877524196,0.6152304609218436
6.000000000000001e-05,12.79120879120879,13.04029304029304,0.9523809523809523,0.8864468864468864,8.27406781252936,6.123978585517058,0.6152304609218436
6.500000000000001e-05,12.776556776556776,13.032967032967033,1.0622710622710623,0.9963369963369964,8.80604865220251,6.7002911618296235,0.6152304609218436
7.000000000000001e-05,12.754578754578754,13.025641025641026,1.164835164835165,1.0915750915750917,9.315863623555947,7.276603738142207,0.6152304609218436
7.500000000000001e-05,12.732600732600732,13.003663003663004,1.2673992673992676,1.208791208791209,9.803512726589663,7.808584577815347,0.6152304609218436
8e-05,12.71062271062271,12.989010989010989,1.36996336996337,1.3186813186813189,10.40199117122195,8.340565417488506,0.6152304609218436
8.5e-05,12.695970695970695,12.967032967032967,1.487179487179487,1.4432234432234432,10.82314266929652,8.872546257161655,0.6152304609218436
